farm code,number,area,N_trees,tree.density
LOMX 10,2,1140,1,0.000877193
LOMX 10,5,1140,1,0.000877193
LOMX 10,1,1140,1,0.000877193
LOMX 10,2,1140,1,0.000877193
LOMX 10,2,1140,1,0.000877193
LOMX 10,1,1140,1,0.000877193
LOMX 10,1,1140,1,0.000877193
LOMX 8,2,2679,9,0.003359462
LOMX 8,1,2679,9,0.003359462
LOMX 8,1,2679,9,0.003359462
LOMX 8,2,2679,9,0.003359462
LOMX 8,1,2679,9,0.003359462
LOMX 8,1,2679,9,0.003359462
LOMX 8,1,2679,9,0.003359462
LOMX 8,2,2679,9,0.003359462
LOMX 8,2,2679,9,0.003359462
LOMX 8,2,2679,9,0.003359462
LOMX 8,2,2679,9,0.003359462
LOMX 8,1,2679,9,0.003359462
LOMZ 10,2,2850,0,0
LOMZ 10,1,2850,0,0
LOMZ 10,2,2850,0,0
LOMZ 10,1,2850,0,0
LOMZ 10,1,2850,0,0
LOMZ 10,1,2850,0,0
LOMZ 10,1,2850,0,0
GBN 2,5,4836,1,9.77E-05
GBN 2,1,4836,1,9.77E-05
GBN 2,1,4836,1,9.77E-05
GBN 2,1,4836,1,9.77E-05
GBN 2,4,4836,1,9.77E-05
GMX 2,2,2320,1,0.000431034
GMX 2,7,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,4,2320,1,0.000431034
GMX 2,4,2320,1,0.000431034
GMX 2,2,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,4,2320,1,0.000431034
GMX 2,6,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,3,2320,1,0.000431034
GMX 2,13,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,3,2320,1,0.000431034
GMX 2,3,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,3,2320,1,0.000431034
GMX 2,4,2320,1,0.000431034
LOBN 2,3,2320,0,0
LOBN 2,1,2320,0,0
LOBN 2,4,2320,0,0
LOBN 2,3,2320,0,0
LOBN 2,2,2320,0,0
LOBN 2,1,2320,0,0
LOBN 2,3,2320,0,0
LOBN 2,2,2320,0,0
LOMX 5,1,1914,1,0.000522466
LOMX 5,0,1914,1,0.000522466
LOMX 5,0,1914,1,0.000522466
LOMX 5,0,1914,1,0.000522466
GMX 2,1,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,2,2320,1,0.000431034
GMX 2,4,2320,1,0.000431034
GMX 2,2,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,1,2320,1,0.000431034
GMX 2,2,2320,1,0.000431034
GMX 2,2,2320,1,0.000431034
